expense_id,date,vendor_name,category,description,amount,payment_method
1,2025-08-02,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,67.75,Check
2,2025-08-02,Disposable Clinic Supplies Co,Cost of Services (Clinical Supplies),Disposable Clinic Supplies Co,45.34,Credit Card
3,2025-08-02,Equipment Loan Payment,Debt Services,Equipment Loan Payment,336.21,Check
4,2025-08-03,Owner Draw,Owner Distribution (Non-Operating),Owner Draw,2334.12,Cash
5,2025-08-03,Scheduling App Fee,Software & Technology,Scheduling App Fee,7.39,Check
6,2025-08-03,Suite Rent - Main Location,Occupancy Cost,Suite Rent - Main Location,322.26,Cash
7,2025-08-03,Booking Software Subscription,Software & Technology,Booking Software Subscription,7.61,Zelle
8,2025-08-04,Office Supply Co,Other/Non-Operating,Office Supply Co,114.53,Zelle
9,2025-08-04,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,72.29,Credit Card
10,2025-08-04,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,365.04,Zelle
11,2025-08-05,Referral Program Payout,Marketing & Growth,Referral Program Payout,11.87,Bank Transfer
12,2025-08-05,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,384.44,Bank Transfer
13,2025-08-05,Office Supply Co,Other/Non-Operating,Office Supply Co,83.36,Check
14,2025-08-06,Booking Software Subscription,Software & Technology,Booking Software Subscription,6.45,Business Debit
15,2025-08-06,Medical Supply Wholesaler,Cost of Services (Clinical Supplies),Medical Supply Wholesaler,40.7,Bank Transfer
16,2025-08-06,Water & Sewer Utility,Occupancy Cost,Water & Sewer Utility,445.74,Bank Transfer
17,2025-08-07,Medical Supply Wholesaler,Cost of Services (Clinical Supplies),Medical Supply Wholesaler,534.45,Cash
18,2025-08-07,Injectable Supply Distributor,Cost of Services (Clinical Supplies),Injectable Supply Distributor,95.44,Zelle
19,2025-08-07,General Store Purchase,Other/Non-Operating,General Store Purchase,98.89,Cash
20,2025-08-07,Social Ads Platform,Marketing & Growth,Social Ads Platform,298.3,Zelle
21,2025-08-08,Miscellaneous Purchase,Other/Non-Operating,Miscellaneous Purchase,977.96,Cash
22,2025-08-09,Miscellaneous Purchase,Other/Non-Operating,Miscellaneous Purchase,126.52,Cash
23,2025-08-09,Break Room Supplies,Other/Non-Operating,Break Room Supplies,95.72,Business Debit
24,2025-08-11,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,103.99,Zelle
25,2025-08-11,Disposable Clinic Supplies Co,Cost of Services (Clinical Supplies),Disposable Clinic Supplies Co,113.02,Bank Transfer
26,2025-08-11,Skincare Product Restock,Cost of Services (Clinical Supplies),Skincare Product Restock,15.07,Cash
27,2025-08-12,Cloud Storage Plan,Software & Technology,Cloud Storage Plan,6.72,Check
28,2025-08-12,Injectable Supply Distributor,Cost of Services (Clinical Supplies),Injectable Supply Distributor,87.58,Zelle
29,2025-08-12,Social Ads Platform,Marketing & Growth,Social Ads Platform,277.45,Credit Card
30,2025-08-12,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,2066.29,Check
31,2025-08-13,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,592.18,Zelle
32,2025-08-13,Electric Utility Co,Occupancy Cost,Electric Utility Co,274.43,Bank Transfer
33,2025-08-13,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,364.26,Check
34,2025-08-14,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,164.71,Check
35,2025-08-14,Office Supply Co,Other/Non-Operating,Office Supply Co,77.05,Cash
36,2025-08-15,Contract Esthetician Pay,Payroll & Labor,Contract Esthetician Pay,374.2,Zelle
37,2025-08-16,Staff Payroll Run,Payroll & Labor,Staff Payroll Run,553.66,Bank Transfer
38,2025-08-16,Social Ads Platform,Marketing & Growth,Social Ads Platform,13.59,Cash
39,2025-08-16,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,241.76,Business Debit
40,2025-08-17,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,99.8,Cash
41,2025-08-17,Front Desk Payroll,Payroll & Labor,Front Desk Payroll,724.39,Bank Transfer
42,2025-08-17,Skincare Product Restock,Cost of Services (Clinical Supplies),Skincare Product Restock,109.56,Credit Card
43,2025-08-17,Local Print Promo Co,Marketing & Growth,Local Print Promo Co,15.75,Zelle
44,2025-08-19,Payroll Tax Deposit,Payroll & Labor,Payroll Tax Deposit,372.35,Check
45,2025-08-19,Search Ads Platform,Marketing & Growth,Search Ads Platform,23.28,Credit Card
